req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
2ea69c78,img_2,visible,"[3647.4643961640245, 2402.586689221201, 4648.032200928755]",0.0,86400.0,86400.0,3960.0,1.0,0.3333333333333333,0.10601851851851853
2ea542c4,img_2,visible,"[3189.920123731725, 2883.3712928389405, 4710.753894359306]",0.0,86400.0,86400.0,4000.0,1.0,0.3333333333333333,0.10596707818930041
2ea69c78,sar_1,sar,"[3647.4643961640245, 2402.586689221201, 4648.032200928755]",0.0,86400.0,86400.0,4110.0,1.0,0.3333333333333333,0.10582561728395062
2e9faed6,img_2,visible,"[3646.401516137588, 3394.1326504988942, 3982.994124437613]",0.0,86400.0,86400.0,4140.0,1.0,0.3333333333333333,0.10578703703703703
2ea7c9e0,sar_1,sar,"[3493.7851743971746, 2290.3937552979546, 4819.562662963553]",0.0,86400.0,86400.0,4140.0,1.0,0.3333333333333333,0.10578703703703703
2e9cc446,img_2,visible,"[3544.8367120268326, 3591.28373183685, 3900.95328142859]",0.0,86400.0,86400.0,4170.0,1.0,0.3333333333333333,0.10574845679012346
2e9e8222,sar_1,sar,"[2630.174015858927, 2107.32041059329, 5414.979962546043]",0.0,86400.0,86400.0,4290.0,1.0,0.3333333333333333,0.10559413580246914
2e99d7ae,thm_1,thermal,"[-1198.1385881205426, -3088.9038212981127, 5450.11557380246]",0.0,86400.0,86400.0,4330.0,1.0,0.3333333333333333,0.10554269547325103
2ea514fc,thm_1,thermal,"[-729.3680464732022, -3221.369315378822, 5456.319698120459]",0.0,86400.0,86400.0,4380.0,1.0,0.3333333333333333,0.10547839506172837
2e9b9cd8,thm_1,thermal,"[-806.4602737939349, -3452.0151021493853, 5302.248223414524]",0.0,86400.0,86400.0,4410.0,1.0,0.3333333333333333,0.1054398148148148
2ea4ba70,thm_1,thermal,"[-486.6518092197806, -3405.35416040655, 5370.973442511385]",0.0,86400.0,86400.0,4430.0,1.0,0.3333333333333333,0.10541409465020576
5930f470,thm_1,thermal,"[-486.6518092197806, -3405.35416040655, 5370.973442511385]",2000.0,5000.0,3000.0,4430.0,6.6735541783853,3.33677708919265,0.2113292156488678
2ea3593c,thm_1,thermal,"[-617.3455133490522, -3774.054347530024, 5104.5098648562935]",0.0,86400.0,86400.0,4470.0,1.0,0.3333333333333333,0.10536265432098765
2e9c955c,thm_1,thermal,"[-660.1806065812408, -3881.037609803973, 5018.200005914349]",0.0,86400.0,86400.0,4480.0,1.0,0.3333333333333333,0.10534979423868313
2e9d7742,thm_1,thermal,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",0.0,86400.0,86400.0,4490.0,1.0,0.3333333333333333,0.1053369341563786
2ea05d9a,thm_1,thermal,"[-324.55826951299105, -4107.041814579687, 4869.034003204581]",0.0,86400.0,86400.0,4550.0,1.0,0.3333333333333333,0.10525977366255143
2e9da6cc,thm_1,thermal,"[122.6874676565995, -4156.697815105328, 4836.055595271449]",0.0,86400.0,86400.0,4600.0,1.0,0.3333333333333333,0.1051954732510288
