plan_index,t_plan,req_id,subtask_index,t_img,u_exp
242,8630.0,8806ece6,2,13140.0,0.283
243,8630.0,8806ecce,2,9320.0,0.297
243,8630.0,8806ece6,2,13140.0,0.283
244,8630.0,8806ecce,2,9320.0,0.297
244,8630.0,8806ece6,2,13140.0,0.283
245,8660.0,8806ecce,2,9320.0,0.297
245,8660.0,8806ece6,2,13140.0,0.283
246,8660.0,8806ecce,2,9320.0,0.297
246,8660.0,8806ece6,2,13140.0,0.283
247,8660.0,8806ecce,2,9320.0,0.297
247,8660.0,8806ece6,2,13140.0,0.283
248,8670.0,8806ecce,2,9320.0,0.297
248,8670.0,8806ece6,2,13140.0,0.283
249,8670.0,8806ecce,2,9320.0,0.297
249,8670.0,8806ece6,2,13140.0,0.283
250,8670.0,8806ecce,2,9320.0,0.297
250,8670.0,8806ece6,2,13140.0,0.283
251,8890.0,8806ecce,2,9320.0,0.297
251,8890.0,8806ece6,2,13140.0,0.283
