GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
440,1008,57.526,38.297
440,2310,58.418,42.191
440,2523,57.206,39.485
440,3356,56.794,38.723
440,3461,58.814,42.565
441,43,58.102,38.702
441,121,56.665,43.385
441,172,56.14,47.463
441,402,59.516,39.796
441,525,59.236,38.49
441,1008,57.526,38.297
441,2310,58.418,42.191
441,2523,57.206,39.485
441,3461,58.814,42.565
442,43,58.102,38.702
442,121,56.665,43.385
442,172,56.14,47.463
442,402,59.516,39.796
442,525,59.236,38.49
442,2310,58.418,42.191
442,3461,58.814,42.565
443,121,56.665,43.385
443,136,60.043,38.102
443,172,56.14,47.463
443,402,59.516,39.796
443,525,59.236,38.49
443,2310,58.418,42.191
443,3461,58.814,42.565
444,136,60.043,38.102
444,172,56.14,47.463
444,402,59.516,39.796
444,2310,58.418,42.191
444,3461,58.814,42.565
444,4703,59.906,37.697
445,172,56.14,47.463
445,1904,61.599,57.859
445,2310,58.418,42.191
445,3461,58.814,42.565
446,172,56.14,47.463
446,1904,61.599,57.859
447,1904,61.599,57.859
447,4872,60.056,62.169
448,1904,61.599,57.859
449,1904,61.599,57.859
450,1904,61.599,57.859
450,3438,60.884,65.177
451,1089,62.305,65.793
451,1319,62.698,65.331
451,1904,61.599,57.859
451,3438,60.884,65.177
452,1089,62.305,65.793
452,1122,61.659,67.222
452,1319,62.698,65.331
452,1371,63.9,65.916
452,1904,61.599,57.859
452,1953,62.402,66.198
452,1998,62.155,66.474
452,2904,65.006,64.755
452,3438,60.884,65.177
452,4367,64.946,64.437
452,4718,63.69,64.877
453,797,64.974,65.712
453,801,65.928,65.298
453,1089,62.305,65.793
453,1122,61.659,67.222
453,1319,62.698,65.331
453,1371,63.9,65.916
453,1464,64.661,65.727
453,1565,65.655,64.624
453,1653,64.377,66.127
453,1904,61.599,57.859
453,1953,62.402,66.198
453,1998,62.155,66.474
453,2904,65.006,64.755
453,3009,64.259,66.037
453,3275,66.134,63.965
453,3438,60.884,65.177
453,3621,65.47,65.69
453,4310,64.101,66.054
