GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
995,1082,59.097,-106.651
995,1123,56.363,-101.262
995,1545,55.398,-100.123
995,1723,56.627,-101.778
995,2109,59.219,-107.119
995,2593,54.622,-97.859
995,3348,58.856,-105.804
995,3435,56.099,-101.069
995,3602,57.853,-104.964
995,3615,58.388,-104.648
995,3686,56.15,-100.449
995,4164,57.218,-103.282
995,4329,54.53,-97.749
995,4507,54.91,-98.816
996,388,59.15,-105.539
996,411,56.492,-100.046
996,437,54.314,-96.693
996,614,54.7,-97.875
996,1002,54.802,-97.335
996,1113,56.853,-100.143
996,1144,58.689,-103.853
996,1277,54.773,-96.956
996,1356,55.146,-98.45
996,1834,56.945,-101.015
996,1971,57.069,-101.34
996,2012,54.507,-96.566
996,2297,55.545,-98.515
996,2383,56.725,-100.187
996,2434,55.728,-99.128
