plan_index,t_plan,instrument,t_img
545,53300.0,thermal,53300.0
545,53300.0,thermal,53330.0
545,53300.0,thermal,53360.0
545,53300.0,thermal,53370.0
545,53300.0,thermal,53380.0
546,53400.0,thermal,53420.0
546,53400.0,thermal,53470.0
546,53400.0,thermal,53480.0
546,53400.0,thermal,53490.0
546,53400.0,thermal,53500.0
547,53500.0,thermal,53500.0
547,53500.0,thermal,53510.0
547,53500.0,thermal,53520.0
547,53500.0,thermal,53550.0
547,53500.0,thermal,53580.0
547,53500.0,thermal,53600.0
548,53600.0,thermal,53600.0
548,53600.0,thermal,53630.0
550,53800.0,thermal,53900.0
551,53900.0,thermal,53900.0
551,53900.0,thermal,53910.0
551,53900.0,thermal,53920.0
551,53900.0,thermal,53940.0
551,53900.0,thermal,53990.0
552,53920.0,thermal,53940.0
552,53920.0,thermal,53990.0
553,54000.0,thermal,54080.0
553,54000.0,thermal,54090.0
554,54100.0,thermal,54120.0
554,54100.0,thermal,54140.0
554,54100.0,thermal,54160.0
554,54100.0,thermal,54190.0
556,54200.0,thermal,54210.0
556,54200.0,thermal,54250.0
556,54200.0,thermal,54260.0
556,54200.0,thermal,54280.0
556,54200.0,thermal,54290.0
556,54200.0,thermal,54300.0
557,54300.0,thermal,54300.0
557,54300.0,thermal,54310.0
557,54300.0,thermal,54330.0
557,54300.0,thermal,54340.0
557,54300.0,thermal,54350.0
557,54300.0,thermal,54360.0
557,54300.0,thermal,54370.0
557,54300.0,thermal,54390.0
557,54300.0,thermal,54400.0
558,54400.0,thermal,54400.0
558,54400.0,thermal,54430.0
558,54400.0,thermal,54440.0
558,54400.0,thermal,54450.0
559,54500.0,thermal,54560.0
560,54600.0,thermal,54620.0
560,54600.0,thermal,54630.0
560,54600.0,thermal,54660.0
560,54600.0,thermal,54670.0
560,54600.0,thermal,54700.0
561,54700.0,thermal,54700.0
561,54700.0,thermal,54720.0
561,54700.0,thermal,54780.0
562,54800.0,thermal,54830.0
562,54800.0,thermal,54870.0
563,54900.0,thermal,54940.0
564,55000.0,thermal,55020.0
564,55000.0,thermal,55070.0
564,55000.0,thermal,55100.0
565,55100.0,thermal,55100.0
565,55100.0,thermal,55170.0
606,59200.0,thermal,59250.0
606,59200.0,thermal,59280.0
607,59300.0,thermal,59380.0
608,59400.0,thermal,59450.0
608,59400.0,thermal,59490.0
609,59500.0,thermal,59520.0
613,59900.0,thermal,59970.0
613,59900.0,thermal,59980.0
613,59900.0,thermal,59990.0
614,60000.0,thermal,60010.0
614,60000.0,thermal,60030.0
614,60000.0,thermal,60080.0
614,60000.0,thermal,60090.0
614,60000.0,thermal,60100.0
615,60090.0,thermal,60100.0
616,60100.0,thermal,60100.0
616,60100.0,thermal,60110.0
616,60100.0,thermal,60120.0
616,60100.0,thermal,60130.0
616,60100.0,thermal,60160.0
616,60100.0,thermal,60200.0
617,60200.0,thermal,60200.0
617,60200.0,thermal,60240.0
617,60200.0,thermal,60300.0
618,60300.0,thermal,60300.0
618,60300.0,thermal,60340.0
618,60300.0,thermal,60380.0
619,60400.0,thermal,60410.0
619,60400.0,thermal,60440.0
619,60400.0,thermal,60480.0
